Cause	Effect
EG10164	G6494
G6494	G6494
G6494	G6494
EG10164	G6494
EG10164	G7727
G7727	G7727
G7727	G7727
EG10164	G7727
G7727	G7726
EG10164	G7726
G7727	G7724
EG10164	G7724
G7727	G7723
EG10164	G7723
G7727	EG12908
EG10164	EG12908
EG10164	G7726
G7727	G7726
EG10164	G7724
G7727	G7724
EG10164	G7723
G7727	G7723
EG10164	EG12908
G7727	EG12908
EG10164	EG10155
G0-8872	EG10155
G0-8882	EG10155
G0-8868	EG10155
EG10359	EG10155
EG10438	EG10155
EG10164	G7912
G7072	G7912
EG10164	G7911
EG10164	G7910
EG10164	G0-17009
EG10359	G0-17009
G0-8872	G0-17009
EG10325	G0-17009
EG10061	G0-17009
EG10164	EG10933
EG10359	EG10933
G7072	EG10933
G0-8872	EG10933
EG10325	EG10933
EG10061	EG10933
G0-8880	EG10933
EG30098	EG10933
EG10164	EG10979
EG10359	EG10979
EG10440	EG10979
EG10441	EG10979
G0-8872	EG10979
EG10325	EG10979
EG10061	EG10979
G7072	EG10979
EG10164	EG10980
EG10359	EG10980
EG10440	EG10980
EG10441	EG10980
G0-8872	EG10980
EG10325	EG10980
EG10061	EG10980
EG10164	EG10981
EG10359	EG10981
G0-8872	EG10981
EG10440	EG10981
EG10441	EG10981
EG10061	EG10981
EG10325	EG10981
EG30098	EG10981
EG10164	EG10982
EG10359	EG10982
G0-8872	EG10982
EG10440	EG10982
EG10441	EG10982
EG10061	EG10982
EG10325	EG10982
EG10164	EG10356
EG10547	EG10356
G0-8872	EG10356
EG10325	EG10356
EG10061	EG10356
EG10164	EG20044
G7826	EG20044
EG10061	EG20044
EG10164	EG12634
EG10164	EG11225
G7826	EG11225
EG10325	EG11225
EG10061	EG11225
EG10643	EG11225
EG10164	EG10095
G7826	EG10095
EG10325	EG10095
EG10643	EG10095
EG10547	EG10095
EG10164	G6749
G6749	G6749
G6749	G6749
EG10164	G6749
G6749	G0-10451
EG10164	G0-10451
EG10164	G0-10451
G6749	G0-10451
EG10164	G6671
G7072	G6671
EG10164	EG12557
G6882	EG12557
EG10164	G0-10241
G6882	G0-10241
EG10164	EG12556
G6882	EG12556
EG12386	EG12556
EG10164	G7915
G6882	G7915
EG10164	EG12554
G6882	EG12554
EG10164	G7914
G6882	G7914
EG10164	G7913
G6882	G7913
EG10164	G6756
EG10325	G6756
G7072	G6756
EG10164	G7440
EG10164	G7489
EG10164	G6736
EG10164	G6358
EG10164	EG11646
EG10164	EG12033
EG10164	G6193
EG10164	G7464
EG10547	G7464
EG10164	G6839
G6814	G6839
EG10164	G6838
G6814	G6838
EG10164	G7789
G7789	G7789
G7789	G7789
EG10164	G7789
G7789	EG20051
EG10164	EG20051
G7789	EG20049
EG10164	EG20049
G7789	GB4478
EG10164	GB4478
G7789	EG20053
EG10164	EG20053
EG10164	EG20051
G7789	EG20051
EG10164	EG20049
G7789	EG20049
EG10164	GB4478
G7789	GB4478
EG10164	EG20053
G7789	EG20053
EG10164	EG11076
EG20253	EG11076
EG10164	EG11849
EG11849	EG11849
EG11849	EG11845
EG11849	EG11846
EG11849	EG11847
EG11849	EG11848
EG11849	EG11849
EG10164	EG11849
EG10164	G7945
EG12739	G7945
EG20249	G7945
